Ingredient,Amount,Type,Calories,Fat (g),Sodium (mg),Carb (g),Fiber (g),Added Sugar (g),Protein (g),Calcium (mg),Potassium (mg),Caffeine (mg),Iron (mg),Cost ($)
"Apple (small, around 150g in total)",1,pc,84,0,2,21,3.6,0,0,10,195,0,0.00,$1.32
Avocado,100,g,177,15,5,8.5,6.7,0,2,0,485,0,1.02,$0.00
Bacon,100,g,264,24,1162,0,0,0,12,0,0,0,0.00,$0.00
Balsamic Glaze (Trader Joe's),1,tbsp,28,0,15,7,0,4,0,0,40,0,0.00,$0.00
"Banana (medium, around 150g with skin)",1,pc,95,0.3,1,22,3.1,0,1.1,6,350,0,0.00,$0.00
"Bar, ABC (Almond Butter Cocoa, Trader Joe's)",1,pc,155,7,70,20,2,5,3,30,100,0,1.00,$0.00
"Beef, Ground (90% Lean, 10% Fat)",113,g,191,11,75,0,0,0,23,0,360,0,2.20,$1.75
Bell Pepper (Fresh),100,g,28,0,0,7,1,0,0,10,200,0,0.00,$0.81
"Black Beans (canned, rinsed)",125,g,76,0,0,14,3,0,5,30,330,0,1.10,$0.00
Blueberries (fresh),74,g,48,0.24,0.74,11,1.8,0,0.55,4.44,57,0,0.21,$1.01
"Bread, Organic 5 Seed Multigrain (Trader Joe's)",56,g,157,5,290,22,3,0,6,20,100,0,0.00,$0.00
Broccoli (dry),100,g,41,0.3,0,6.7,2.4,0,2.8,47,280,0,0.66,$0.97
Broccoli (raw),100,g,41,0.4,0,6.6,0,0,2.8,0,0,0,0.00,$0.00
"Brussels sprouts (steamed, no oil)",88,g,46,0.26,22,8,3.3,0,2.97,37,342,0,0.88,$0.00
"Butter (unsalted, Clover)",14,g,99,11,0,0,0,0,0,0,0,0,0.00,$0.00
"Cappuccino (Medium, Peet's, 2% Milk)",1,pc,141,5,130,15,0,11,9,325,450,126,0.00,$0.00
"Cashews, Whole (Salted, 50% Less Sodium, Trader Joe's)",30,g,182,14,55,9,0.5,0,5,10,190,0,1.80,$0.56
"Cheese, Cream Whipped (Trader Joe's)",20,g,71,7,70,1,0,0,1,0,0,0,0.00,$0.00
"Cheese, Feta Crumbled (Trader Joe's)",28,g,68,4,340,2,0,0,6,100,0,0,0.00,$0.00
"Cheese, Goat (Creamy, Fresh, Trader Joe's)",28,g,74,6,80,0,0,0,5,0,0,0,0.00,$0.00
"Cheese, Goat (Crumbled, Trader Joe's)",28,g,78,6,90,1,0,0,5,40,0,0,0.00,$0.00
"Cheese, Gouda Double Cream (Trader Joe's)",28,g,109,9,200,2,0,0,5,375,0,0,0.00,$0.00
"Cheese, Parmesan",100,g,429,29,1529,4.1,0,0,38,1100,125,0,0.00,$0.00
Chicken Breast (Raw),100,g,127,3,60,0,0,0,25,10,250,0,0.00,$0.00
Chicken Breast (Whole Foods Hot Bar - Estimation),100,g,169,5,150,0,0,0,31,0,250,0,0.00,$0.00
Chicken Cutlet (Pistachio Panko),85,g,127,3,100,7,0,0,18,9,290,0,0.00,$0.00
"Chicken Thigh (Skinless, Boneless)",100,g,214,13.5,174,0.1,0,0,23,11,254,0,1.00,$2.31
"Corn, Roasted Frozen (Trader Joe's)",100,g,86,1.5,0,15,3,0,3,0,210,0,0.30,$0.00
Cucumber,100,g,25,0.1,0,5,1,0,1,0,140,0,0.00,$0.00
Direct Entry - Added Sugar (g) - ZERO calories,1,g,0,0,0,0,0,1,0,0,0,0,0.00,$0.00
Direct Entry - Carbohydrate (g),1,g,4,0,0,1,0,0,0,0,0,0,0.00,$0.00
Direct Entry - Fat (g),1,g,9,1,0,0,0,0,0,0,0,0,0.00,$0.00
Direct Entry - Protein (g),1,g,4,0,0,0,0,0,1,0,0,0,0.00,$0.00
Direct Entry - Sodium (mg),1,pc,0,0,1,0,0,0,0,0,0,0,0.00,$0.00
Egg (L) white only,1,pc,16,0.1,55,0.2,0,0,3.6,2,54,0,0.00,$0.62
Egg (L) whole,1,pc,70,4.6,63,0.8,0,0,6.3,24,73,0,0.60,$0.62
Egg (L) yolk only,1,pc,54,4.5,8,0.6,0,0,2.7,22,19,0,0.60,$0.62
"Flour, Unbleached All Purpose (Trader Joe's)",30,g,104,0,0,23,0,0,3,0,30,0,0.00,$0.00
"Fruits, Frozen (Average, Trader Joe's)",140,g,72,0,0,18,3,0,0,20,210,0,0.00,$1.23
